ticker,date,estimate,period,reported,surprise1,surprise2
abbv,2014-07-25,$0.76,"Jun 2014",$0.82,0.06,0.06
abbv,2014-04-25,$0.68,"Mar 2014",$0.72,0.04,0.04
abbv,2014-01-31,$0.83,"Dec 2013",$0.82,-0.01,-0.01
abbv,2013-10-25,$0.78,"Sep 2013",$0.82,0.04,0.04
abbv,2013-07-26,$0.79,"Jun 2013",$0.82,0.03,0.03
abbv,2013-04-26,$0.66,"Mar 2013",$0.68,0.02,0.02
abc,2017-01-31,$1.22,"Dec 2016","","",""
abc,2016-11-02,$1.22,"Sep 2016",$1.30,0.08,0.08
abc,2016-08-02,$1.26,"Jun 2016",$1.37,0.11,0.11
abc,2016-05-05,$1.59,"Mar 2016",$1.68,0.09,0.09
abc,2016-02-04,$1.25,"Dec 2015",$1.27,0.02,0.02
abc,2015-10-29,$1.18,"Sep 2015",$1.17,-0.01,-0.01
abc,2015-07-23,$1.15,"Jun 2015",$1.20,0.05,0.05
abc,2015-04-30,$1.18,"Mar 2015",$1.45,0.27,0.27
abc,2015-01-28,$0.96,"Dec 2014",$1.14,0.18,0.18
abc,2014-10-30,$1.05,"Sep 2014",$1.10,0.05,0.05
abc,2014-07-24,$0.92,"Jun 2014",$1.01,0.09,0.09
abc,2014-04-24,$1.00,"Mar 2014",$1.06,0.06,0.06
abc,2014-01-23,$0.79,"Dec 2013",$0.80,0.01,0.01
abc,2013-10-31,$0.74,"Sep 2013",$0.79,0.05,0.05
abc,2013-07-24,$0.74,"Jun 2013",$0.73,-0.01,-0.01
abc,2013-04-25,$0.88,"Mar 2013",$0.87,-0.01,-0.01
abc,2013-01-24,$0.67,"Dec 2012",$0.67,0.0,0.0
abc,2012-11-01,$0.68,"Sep 2012",$0.69,0.01,0.01
abc,2012-07-26,$0.69,"Jun 2012",$0.72,0.03,0.03
abc,2012-04-26,$0.81,"Mar 2012",$0.81,0.0,0.0
abc,2012-01-26,$0.63,"Dec 2011",$0.62,-0.01,-0.01
abc,2011-11-01,$0.56,"Sep 2011",$0.60,0.04,0.04
abc,2011-07-28,$0.59,"Jun 2011",$0.61,0.02,0.02
abc,2011-04-28,$0.69,"Mar 2011",$0.77,0.08,0.08
abc,2011-02-04,$0.53,"Dec 2010",$0.57,0.04,0.04
abc,2010-11-02,$0.48,"Sep 2010","","",""
abc,2010-07-27,$0.49,"Jun 2010","","",""
abc,2010-04-22,$0.55,"Mar 2010","","",""
abc,2010-01-26,$0.46,"Dec 2009","","",""
abc,2009-11-03,$0.40,"Sep 2009","","",""
abc,2009-07-30,$0.39,"Jun 2009","","",""
abt,2017-01-25,$0.64,"Dec 2016",Dec,N/A,N/A
abt,2016-10-19,$0.58,"Sep 2016",Sep,$0.59,0.01
abt,2016-07-20,$0.53,"Jun 2016",Jun,$0.55,0.02
abt,2016-04-20,$0.39,"Mar 2016",Mar,$0.41,0.02
abt,2016-01-28,$0.61,"Dec 2015",Dec,$0.62,0.01
abt,2015-10-21,$0.53,"Sep 2015",Sep,$0.54,0.01
abt,2015-07-22,$0.50,"Jun 2015",Jun,$0.52,0.02
abt,2015-04-22,$0.42,"Mar 2015",Mar,$0.47,0.05
abt,2015-01-29,$0.68,"Dec 2014",Dec,$0.71,0.03
abt,2014-10-22,$0.60,"Sep 2014",Sep,$0.62,0.02
abt,2014-07-16,$0.51,"Jun 2014",Jun,$0.54,0.03
abt,2014-04-16,$0.35,"Mar 2014",Mar,$0.41,0.06
abt,2014-01-22,$0.58,"Dec 2013",Dec,$0.58,0.00
abt,2013-10-16,$0.51,"Sep 2013",Sep,$0.55,0.04
abt,2013-07-17,$0.44,"Jun 2013",Jun,$0.46,0.02
abt,2013-04-17,$0.42,"Mar 2013",Mar,$0.42,0.00
abt,2013-01-23,$1.50,"Dec 2012",Dec,$1.52,0.02
abt,2012-10-17,$1.28,"Sep 2012",Sep,$1.30,0.02
abt,2012-07-18,$1.22,"Jun 2012",Jun,$1.23,0.01
abt,2012-04-18,$1.00,"Mar 2012",Mar,$0.38,-0.62
abt,2012-01-25,$1.44,"Dec 2011",Dec,$1.45,0.01
abt,2011-10-19,$1.17,"Sep 2011",Sep,$1.18,0.01
abt,2011-07-20,$1.11,"Jun 2011",Jun,$1.12,0.01
abt,2011-04-20,$0.90,"Mar 2011",Mar,$0.91,0.01
abt,2011-01-26,$1.29,"Dec 2010",Dec,$1.30,0.01
abt,2010-10-20,$1.04,"Sep 2010",Sep,N/A,N/A
abt,2010-07-21,$1.00,"Jun 2010",Jun,N/A,N/A
abt,2010-04-21,$0.80,"Mar 2010",Mar,N/A,N/A
abt,2010-01-27,$1.17,"Dec 2009",Dec,N/A,N/A
abt,2009-10-14,$0.90,"Sep 2009",Sep,N/A,N/A
abt,2009-07-15,$0.89,"Jun 2009",Jun,N/A,N/A
acn,2016-12-21,$1.49,"Nov 2016",$1.58,0.09,0.09
acn,2016-09-29,$1.30,"Aug 2016",$1.31,0.01,0.01
acn,2016-06-23,$1.40,"May 2016",$1.41,0.01,0.01
acn,2016-03-24,$1.18,"Feb 2016",$1.34,0.16,0.16
acn,2015-12-17,$1.31,"Nov 2015",$1.28,-0.03,-0.03
acn,2015-09-24,$1.11,"Aug 2015",$1.15,0.04,0.04
acn,2015-06-25,$1.21,"May 2015",$1.30,0.09,0.09
acn,2015-03-26,$1.07,"Feb 2015",$1.08,0.01,0.01
acn,2014-12-18,$1.19,"Nov 2014",$1.29,0.1,0.1
acn,2014-09-24,$1.10,"Aug 2014",$1.08,-0.02,-0.02
acn,2014-06-26,$1.21,"May 2014",$1.26,0.05,0.05
acn,2014-03-27,$1.04,"Feb 2014",$1.03,-0.01,-0.01
acn,2013-12-19,$1.09,"Nov 2013",$1.15,0.06,0.06
acn,2013-09-26,$1.00,"Aug 2013",$1.01,0.01,0.01
acn,2013-06-27,$1.13,"May 2013",$1.14,0.01,0.01
acn,2013-03-28,$0.97,"Feb 2013",$1.00,0.03,0.03
acn,2012-12-19,$1.04,"Nov 2012",$1.06,0.02,0.02
acn,2012-09-27,$0.88,"Aug 2012",$0.88,0.0,0.0
acn,2012-06-28,$0.99,"May 2012",$1.03,0.04,0.04
acn,2012-03-22,$0.86,"Feb 2012",$0.97,0.11,0.11
acn,2011-12-15,$0.94,"Nov 2011",$0.96,0.02,0.02
acn,2011-09-27,$0.89,"Aug 2011",$0.91,0.02,0.02
acn,2011-06-23,$0.89,"May 2011",$0.93,0.04,0.04
acn,2011-03-24,$0.71,"Feb 2011",$0.75,0.04,0.04
acn,2010-12-16,$0.75,"Nov 2010",$0.81,0.06,0.06
acn,2010-09-30,$0.63,"Aug 2010","","",""
acn,2010-06-24,$0.69,"May 2010","","",""
acn,2010-03-25,$0.61,"Feb 2010","","",""
acn,2009-12-17,$0.65,"Nov 2009","","",""
acn,2009-10-01,$0.63,"Aug 2009","","",""
acn,2009-06-25,$0.64,"May 2009","","",""
adbe,2016-12-15,$0.72,"Nov 2016",$0.83,0.11,0.11
adbe,2016-09-20,$0.58,"Aug 2016",$0.60,0.02,0.02
adbe,2016-06-21,$0.52,"May 2016",$0.55,0.03,0.03
adbe,2016-03-17,$0.47,"Feb 2016",$0.52,0.05,0.05
adbe,2015-12-10,$0.45,"Nov 2015",$0.47,0.02,0.02
adbe,2015-09-17,$0.35,"Aug 2015",$0.39,0.04,0.04
adbe,2015-06-16,$0.31,"May 2015",$0.34,0.03,0.03
adbe,2015-03-17,$0.27,"Feb 2015",$0.27,0.0,0.0
adbe,2014-12-11,$0.17,"Nov 2014",$0.22,0.05,0.05
adbe,2014-09-16,$0.13,"Aug 2014",$0.14,0.01,0.01
adbe,2014-06-17,$0.16,"May 2014",$0.23,0.07,0.07
adbe,2014-03-18,$0.12,"Feb 2014",$0.16,0.04,0.04
adbe,2013-12-12,$0.19,"Nov 2013",$0.18,-0.01,-0.01
adbe,2013-09-17,$0.21,"Aug 2013",$0.21,0.0,0.0
adbe,2013-06-18,$0.21,"May 2013",$0.24,0.03,0.03
adbe,2013-03-19,$0.20,"Feb 2013",$0.22,0.02,0.02
adbe,2012-12-13,$0.46,"Nov 2012",$0.49,0.03,0.03
adbe,2012-09-19,$0.47,"Aug 2012",$0.44,-0.03,-0.03
adbe,2012-06-19,$0.48,"May 2012",$0.46,-0.02,-0.02
adbe,2012-03-19,$0.46,"Feb 2012",$0.42,-0.04,-0.04
adbe,2011-12-15,$0.50,"Nov 2011",$0.52,0.02,0.02
adbe,2011-09-20,$0.44,"Aug 2011",$0.44,0.0,0.0
adbe,2011-06-21,$0.42,"May 2011",$0.40,-0.02,-0.02
adbe,2011-03-22,$0.48,"Feb 2011",$0.44,-0.04,-0.04
adbe,2010-12-20,$0.44,"Nov 2010",$0.49,0.05,0.05
adbe,2010-09-21,$0.41,"Aug 2010","","",""
adbe,2010-06-22,$0.33,"May 2010","","",""
adbe,2010-03-23,$0.30,"Feb 2010","","",""
adbe,2009-12-15,$0.31,"Nov 2009","","",""
adbe,2009-09-15,$0.28,"Aug 2009","","",""
adi,2017-02-15,$0.74,"Jan 2017","","",""
adi,2016-11-22,$0.89,"Oct 2016",$1.05,0.16,0.16
adi,2016-08-17,$0.76,"Jul 2016",$0.82,0.06,0.06
adi,2016-05-18,$0.62,"Apr 2016",$0.64,0.02,0.02
adi,2016-02-17,$0.53,"Jan 2016",$0.56,0.03,0.03
adi,2015-11-24,$0.83,"Oct 2015",$1.03,0.2,0.2
adi,2015-08-18,$0.74,"Jul 2015",$0.77,0.03,0.03
adi,2015-05-19,$0.72,"Apr 2015",$0.73,0.01,0.01
adi,2015-02-17,$0.61,"Jan 2015",$0.62,0.01,0.01
adi,2014-11-25,$0.68,"Oct 2014",$0.69,0.01,0.01
adi,2014-08-26,$0.63,"Jul 2014",$0.63,0.0,0.0
adi,2014-05-20,$0.56,"Apr 2014",$0.59,0.03,0.03
adi,2014-02-18,$0.48,"Jan 2014",$0.49,0.01,0.01
adi,2013-11-26,$0.58,"Oct 2013",$0.62,0.04,0.04
adi,2013-08-20,$0.54,"Jul 2013",$0.57,0.03,0.03
adi,2013-05-21,$0.52,"Apr 2013",$0.50,-0.02,-0.02
adi,2013-02-19,$0.44,"Jan 2013",$0.44,0.0,0.0
adi,2012-11-27,$0.57,"Oct 2012",$0.58,0.01,0.01
adi,2012-08-21,$0.56,"Jul 2012",$0.56,0.0,0.0
adi,2012-05-22,$0.51,"Apr 2012",$0.53,0.02,0.02
adi,2012-02-22,$0.48,"Jan 2012",$0.46,-0.02,-0.02
adi,2011-11-21,$0.63,"Oct 2011",$0.60,-0.03,-0.03
adi,2011-08-16,$0.73,"Jul 2011",$0.71,-0.02,-0.02
adi,2011-05-17,$0.68,"Apr 2011",$0.75,0.07,0.07
adi,2011-02-15,$0.65,"Jan 2011",$0.66,0.01,0.01
adi,2010-11-22,$0.70,"Oct 2010","","",""
adi,2010-08-17,$0.60,"Jul 2010","","",""
adi,2010-05-18,$0.50,"Apr 2010","","",""
adi,2010-02-17,$0.38,"Jan 2010","","",""
adi,2009-11-23,$0.26,"Oct 2009","","",""
adi,2009-08-18,$0.20,"Jul 2009","","",""
adi,2009-05-19,$0.09,"Apr 2009","","",""
adm,2017-02-07,$0.84,"Dec 2016","","",""
adm,2016-11-01,$0.47,"Sep 2016",$0.59,0.12,0.12
adm,2016-08-02,$0.44,"Jun 2016",$0.41,-0.03,-0.03
adm,2016-05-03,$0.43,"Mar 2016",$0.42,-0.01,-0.01
adm,2016-02-02,$0.65,"Dec 2015",$0.61,-0.04,-0.04
adm,2015-11-03,$0.71,"Sep 2015",$0.60,-0.11,-0.11
adm,2015-08-04,$0.65,"Jun 2015",$0.60,-0.05,-0.05
adm,2015-05-05,$0.71,"Mar 2015",$0.77,0.06,0.06
adm,2015-02-03,$0.93,"Dec 2014",$1.00,0.07,0.07
adm,2014-11-04,$0.76,"Sep 2014",$0.81,0.05,0.05
adm,2014-08-05,$0.75,"Jun 2014",$0.77,0.02,0.02
adm,2014-04-29,$0.76,"Mar 2014",$0.55,-0.21,-0.21
adm,2014-02-04,$0.84,"Dec 2013",$0.95,0.11,0.11
adm,2013-10-29,$0.48,"Sep 2013",$0.46,-0.02,-0.02
adm,2013-08-06,$0.42,"Jun 2013",$0.46,0.04,0.04
adm,2013-05-01,$0.51,"Mar 2013",$0.48,-0.03,-0.03
adm,2013-02-05,$0.59,"Dec 2012",$0.60,0.01,0.01
adm,2012-10-30,$0.44,"Sep 2012",$0.50,0.06,0.06
adm,2012-07-31,$0.62,"Jun 2012",$0.38,-0.24,-0.24
adm,2012-05-01,$0.60,"Mar 2012",$0.68,0.08,0.08
adm,2012-01-31,$0.77,"Dec 2011",$0.51,-0.26,-0.26
adm,2011-11-01,$0.70,"Sep 2011",$0.68,-0.02,-0.02
adm,2011-08-02,$0.84,"Jun 2011",$0.58,-0.26,-0.26
adm,2011-05-03,$0.85,"Mar 2011",$0.86,0.01,0.01
adm,2011-02-01,$0.77,"Dec 2010",$1.14,0.37,0.37
adm,2010-11-02,$0.75,"Sep 2010","","",""
adm,2010-08-03,$0.50,"Jun 2010","","",""
adm,2010-05-04,$0.72,"Mar 2010","","",""
adm,2010-02-02,$0.72,"Dec 2009","","",""
adm,2009-11-03,$0.56,"Sep 2009","","",""
adm,2009-08-04,$0.42,"Jun 2009","","",""
adm,2009-05-05,$0.51,"Mar 2009","","",""
adp,2017-02-01,$0.81,"Dec 2016","","",""
adp,2016-11-02,$0.77,"Sep 2016",$0.86,0.09,0.09
adp,2016-07-28,$0.67,"Jun 2016",$0.69,0.02,0.02
adp,2016-04-28,$1.18,"Mar 2016",$1.17,-0.01,-0.01
adp,2016-02-03,$0.71,"Dec 2015",$0.72,0.01,0.01
adp,2015-10-28,$0.65,"Sep 2015",$0.68,0.03,0.03
adp,2015-07-30,$0.59,"Jun 2015",$0.55,-0.04,-0.04
adp,2015-04-30,$1.02,"Mar 2015",$1.04,0.02,0.02
adp,2015-02-04,$0.68,"Dec 2014",$0.70,0.02,0.02
adp,2014-10-29,$0.60,"Sep 2014",$0.62,0.02,0.02
adp,2014-07-31,$0.63,"Jun 2014",$0.63,0.0,0.0
adp,2014-04-30,$1.08,"Mar 2014",$1.06,-0.02,-0.02
adp,2014-02-05,$0.77,"Dec 2013",$0.78,0.01,0.01
adp,2013-10-30,$0.66,"Sep 2013",$0.68,0.02,0.02
adp,2013-08-01,$0.57,"Jun 2013",$0.56,-0.01,-0.01
adp,2013-05-03,$0.98,"Mar 2013",$0.99,0.01,0.01
adp,2013-02-05,$0.71,"Dec 2012",$0.72,0.01,0.01
adp,2012-11-01,$0.62,"Sep 2012",$0.62,0.0,0.0
adp,2012-08-01,$0.53,"Jun 2012",$0.53,0.0,0.0
adp,2012-05-01,$0.91,"Mar 2012",$0.92,0.01,0.01
adp,2012-01-25,$0.68,"Dec 2011",$0.68,0.0,0.0
adp,2011-10-26,$0.61,"Sep 2011",$0.61,0.0,0.0
adp,2011-07-28,$0.48,"Jun 2011",$0.48,0.0,0.0
adp,2011-05-02,$0.85,"Mar 2011",$0.85,0.0,0.0
adp,2011-01-26,$0.61,"Dec 2010",$0.62,0.01,0.01
adp,2010-10-27,$0.53,"Sep 2010","","",""
adp,2010-07-29,$0.42,"Jun 2010","","",""
adp,2010-04-27,$0.78,"Mar 2010","","",""
adp,2010-02-02,$0.58,"Dec 2009","","",""
adp,2009-11-04,$0.50,"Sep 2009","","",""
adp,2009-07-30,$0.45,"Jun 2009","","",""
adp,2009-05-05,$0.80,"Mar 2009","","",""
ads,2017-01-26,$4.41,"Dec 2016","","",""
ads,2016-10-20,$4.17,"Sep 2016",$4.54,0.37,0.37
ads,2016-07-21,$3.32,"Jun 2016",$3.28,-0.04,-0.04
ads,2016-04-21,$3.47,"Mar 2016",$3.63,0.16,0.16
ads,2016-01-28,$3.84,"Dec 2015",$3.87,0.03,0.03
ads,2015-10-22,$3.68,"Sep 2015",$3.73,0.05,0.05
ads,2015-07-23,$3.02,"Jun 2015",$3.08,0.06,0.06
ads,2015-04-16,$3.23,"Mar 2015",$3.39,0.16,0.16
ads,2015-02-05,$3.10,"Dec 2014",$3.21,0.11,0.11
ads,2014-10-16,$3.12,"Sep 2014",$3.26,0.14,0.14
ads,2014-07-17,$2.57,"Jun 2014",$2.74,0.17,0.17
ads,2014-04-17,$2.59,"Mar 2014",$2.66,0.07,0.07
ads,2014-02-06,$2.18,"Dec 2013",$2.23,0.05,0.05
ads,2013-10-17,$2.53,"Sep 2013",$2.52,-0.01,-0.01
ads,2013-07-30,$2.18,"Jun 2013",$2.27,0.09,0.09
ads,2013-04-18,$2.43,"Mar 2013",$2.36,-0.07,-0.07
ads,2013-01-31,$1.68,"Dec 2012",$1.72,0.04,0.04
ads,2012-10-18,$2.13,"Sep 2012",$2.18,0.05,0.05
ads,2012-07-19,$1.78,"Jun 2012",$1.84,0.06,0.06
ads,2012-04-19,$2.09,"Mar 2012",$2.26,0.17,0.17
ads,2012-02-02,$1.35,"Dec 2011",$1.59,0.24,0.24
ads,2011-10-20,$1.78,"Sep 2011",$2.16,0.38,0.38
ads,2011-07-21,$1.54,"Jun 2011",$1.56,0.02,0.02
ads,2011-04-21,$1.54,"Mar 2011",$1.87,0.33,0.33
ads,2011-02-01,$1.31,"Dec 2010","","",""
ads,2010-10-20,$1.39,"Sep 2010","","",""
ads,2010-07-21,$1.18,"Jun 2010","","",""
ads,2010-04-21,$1.19,"Mar 2010","","",""
ads,2010-02-02,$1.48,"Dec 2009","","",""
ads,2009-10-21,$1.23,"Sep 2009","","",""
ads,2009-07-22,$0.88,"Jun 2009","","",""
adsk,2017-02-23,"- $0.49","Jan 2017","","",""
adsk,2016-11-29,"- $0.42","Oct 2016","- $0.43",-0.01,-0.01
adsk,2016-08-25,"- $0.30","Jul 2016","- $0.10",0.2,0.2
adsk,2016-05-19,"- $0.26","Apr 2016","- $0.27",-0.01,-0.01
adsk,2016-02-25,"- $0.07","Jan 2016","- $0.04",0.03,0.03
adsk,2015-11-19,"- $0.13","Oct 2015",$0.00,"",""
adsk,2015-08-27,$0.02,"Jul 2015",$0.01,-0.01,-0.01
adsk,2015-05-19,$0.14,"Apr 2015",$0.15,0.01,0.01
adsk,2015-02-26,$0.13,"Jan 2015",$0.12,-0.01,-0.01
adsk,2014-11-20,$0.11,"Oct 2014",$0.12,0.01,0.01
adsk,2014-08-14,$0.17,"Jul 2014",$0.24,0.07,0.07
adsk,2014-05-15,$0.11,"Apr 2014",$0.21,0.1,0.1
adsk,2014-02-26,$0.21,"Jan 2014",$0.28,0.07,0.07
adsk,2013-11-21,$0.27,"Oct 2013",$0.31,0.04,0.04
adsk,2013-08-22,$0.31,"Jul 2013",$0.35,0.04,0.04
adsk,2013-05-16,$0.35,"Apr 2013",$0.31,-0.04,-0.04
adsk,2013-02-25,$0.38,"Jan 2013",$0.39,0.01,0.01
adsk,2012-11-15,$0.31,"Oct 2012",$0.28,-0.03,-0.03
adsk,2012-08-23,$0.40,"Jul 2012",$0.35,-0.05,-0.05
adsk,2012-05-17,$0.39,"Apr 2012",$0.37,-0.02,-0.02
adsk,2012-02-23,$0.38,"Jan 2012",$0.36,-0.02,-0.02
adsk,2011-11-15,$0.34,"Oct 2011",$0.36,0.02,0.02
adsk,2011-08-18,$0.35,"Jul 2011",$0.35,0.0,0.0
adsk,2011-05-19,$0.31,"Apr 2011",$0.32,0.01,0.01
adsk,2011-02-24,$0.27,"Jan 2011",$0.27,0.0,0.0
adsk,2010-11-18,$0.25,"Oct 2010","","",""
adsk,2010-08-12,$0.20,"Jul 2010","","",""
adsk,2010-05-19,$0.16,"Apr 2010","","",""
