earning_date,month,buy_days,sell_days,buy_date,sell_date,buy_price,sell_price,profit
2013-07-12,Mar,-14,2,2013-06-28,2013-07-12,1.67,1.69,0.020000000000000018
2013-02-15,Dec,-14,2,2013-02-01,2013-02-15,1.68,1.66,-0.020000000000000018
2012-11-19,Sep,-14,2,2012-11-05,2012-11-21,1.66,1.66,0.0
2012-08-15,Jun,-14,2,2012-08-01,2012-08-17,2.0,2.05,0.04999999999999982
2012-07-12,Mar,-14,2,2012-06-28,2012-07-13,2.0,2.1,0.10000000000000009
2012-02-15,Dec,-14,2,2012-02-01,2012-02-17,1.77,1.94,0.16999999999999993
2011-11-16,Sep,-14,2,2011-11-02,2011-11-18,1.67,1.61,-0.05999999999999983
2011-08-18,Jun,-14,2,2011-08-04,2011-08-19,1.69,1.7,0.010000000000000009
2011-07-13,Mar,-14,2,2011-06-29,2011-07-15,2.1,1.87,-0.22999999999999998
2011-02-17,Dec,-14,2,2011-02-03,2011-02-18,2.08,2.36,0.2799999999999998
2010-11-16,Sep,-14,2,2010-11-02,2010-11-18,2.0,2.15,0.1499999999999999
2010-08-18,Jun,-14,2,2010-08-04,2010-08-20,2.48,2.5,0.020000000000000018
2010-07-13,Mar,-14,2,2010-06-29,2010-07-15,1.67,2.12,0.4500000000000002
2010-02-11,Dec,-14,2,2010-01-28,2010-02-12,2.42,2.4,-0.020000000000000018
2009-11-19,Sep,-14,2,2009-11-05,2009-11-20,1.39,1.96,0.5700000000000001
2009-07-10,Mar,-14,2,2009-06-26,2009-07-10,0.62,0.56,-0.05999999999999994
2016-07-05,Mar,-14,3,2016-06-21,2016-07-08,0.63,0.64,0.010000000000000009
2016-02-16,Dec,-14,3,2016-02-02,2016-02-19,0.99,0.95,-0.040000000000000036
2015-10-01,Jun,-14,3,2015-09-17,2015-10-02,1.28,1.27,-0.010000000000000009
2015-07-01,Mar,-14,3,2015-06-17,2015-07-02,1.36,1.14,-0.2200000000000002
2015-04-03,Dec,-14,3,2015-03-20,2015-04-06,1.3,1.45,0.1499999999999999
2015-01-01,Sep,-14,3,2014-12-18,2015-01-02,1.03,1.04,0.010000000000000009
2014-08-21,Jun,-14,3,2014-08-07,2014-08-22,1.6,1.92,0.31999999999999984
2014-07-15,Mar,-14,3,2014-07-01,2014-07-18,1.79,1.58,-0.20999999999999996
2014-02-13,Dec,-14,3,2014-01-30,2014-02-14,2.15,2.16,0.010000000000000231
2013-11-18,Sep,-14,3,2013-11-04,2013-11-21,1.86,1.9,0.039999999999999813
2013-08-13,Jun,-14,3,2013-07-30,2013-08-16,1.74,1.67,-0.07000000000000006
2013-07-12,Mar,-14,3,2013-06-28,2013-07-15,1.67,1.77,0.10000000000000009
2013-02-15,Dec,-14,3,2013-02-01,2013-02-15,1.68,1.66,-0.020000000000000018
2012-11-19,Sep,-14,3,2012-11-05,2012-11-21,1.66,1.66,0.0
2012-08-15,Jun,-14,3,2012-08-01,2012-08-17,2.0,2.05,0.04999999999999982
2012-07-12,Mar,-14,3,2012-06-28,2012-07-13,2.0,2.1,0.10000000000000009
2012-02-15,Dec,-14,3,2012-02-01,2012-02-17,1.77,1.94,0.16999999999999993
2011-11-16,Sep,-14,3,2011-11-02,2011-11-18,1.67,1.61,-0.05999999999999983
2011-08-18,Jun,-14,3,2011-08-04,2011-08-19,1.69,1.7,0.010000000000000009
2011-07-13,Mar,-14,3,2011-06-29,2011-07-15,2.1,1.87,-0.22999999999999998
2011-02-17,Dec,-14,3,2011-02-03,2011-02-18,2.08,2.36,0.2799999999999998
2010-11-16,Sep,-14,3,2010-11-02,2010-11-19,2.0,2.09,0.08999999999999986
2010-08-18,Jun,-14,3,2010-08-04,2010-08-20,2.48,2.5,0.020000000000000018
2010-07-13,Mar,-14,3,2010-06-29,2010-07-16,1.67,2.1,0.43000000000000016
2010-02-11,Dec,-14,3,2010-01-28,2010-02-12,2.42,2.4,-0.020000000000000018
2009-11-19,Sep,-14,3,2009-11-05,2009-11-20,1.39,1.96,0.5700000000000001
2009-07-10,Mar,-14,3,2009-06-26,2009-07-13,0.62,0.56,-0.05999999999999994
